NPA,Area-2020,Age_of_Residents-2021,Tree_Canopy-2012,Impervious_Surface-2023,Housing_Density-2023,Housing_Size-2023,Housing_Age-2023,New_Residential-2023,Residential_Renovation-2023,Commuters_Driving_Alone-2022,Vacant_Land-2023,Youth_Population-2022,Older_Adult_Population-2022,White_Population-2020,Black_Population-2020,Asian_Population-2020,All_Other_Races-2020,Hispanic_Latino-2020,Commercial_Construction-2023,Bachelors_Degree-2022,Early_Care_Proximity-2023,School_Age_Proximity-2023,Recycling_Participation-2022,Solid_Waste-2022,Solid_Waste_Diversion_Rate-2022,Electricity_Consumption-2013,Water_Consumption-2022,Low_Cost_Healthcare_Proximity-2022,Home_Ownership-2022,Single_Family_Housing-2023,Residential_Occupancy-2022,Nuisance_Violations-2022,Long_Commute -2022,Bicycle_Friendliness-2023,Street_Connectivity-2022,Transit_Proximity-2023,Household_Income-2021,Employment_Rate-2022,High_School_Diploma-2022,Rental_Costs-2021,Commercial_Space-2023,Commercial_Building_Age-2023,Adopt_a_Stream-2023,Transit_Ridership-2022,Grocery_Proximity-2023,Pharmacy_Proximity-2022,Population_Density-2020,Voter_Participation-2022,Residential_Tree_Canopy-2012,Library_Card_Prevalence-2018,311_Request_Rate-2022,Rental_Houses-2023,Births_to_Adolescents-2019,Low_Birthweight-2019,Prenatal_Care-2019,Age_of_Death-2019,Violent_Crime_Rate-2022,Property_Crime_Rate-2022,Disorder_Call_Rate-2022,Animal_Control_Call_Rate-2022,Proficiency_Elementary_School-2023,Proficiency_Middle_School-2023,Proficiency_High_School-2023,Highschool_Graduation_Rate-2023,Student_Absenteeism-2023,Neighborhood_School_Attendance-2023,Housing_Violations-2023,Foreclosures-2023,Adopt_a_Street-2023,Board_Committee_Participation-2023,Neighborhood_Organizations-2021,Park_Proximity-2023,Job_Density-2019,Home_Sale_Price-2023,Natural_Gas_Consumption-2013,Fire_Call_Rate-2021,Fincancial_Services_Proximity-2023,Public_Nutrition_Assistance-2023,Public_Health_Insurance -2017,Subsidized_Housing-2023,Residential_Demolitions-2023
12,158.853,27.0,41.94132466203804,35.3129602852324,10.1,,,0.0,0.6,58.88111888111888,1.189456498,29.61772061450518,2.3579849946409435,14.45,34.95,2.6,2.49,45.51,1.3,15.753846153846156,100.0,100.0,,,,881.0,,100.0,5.653382761816497,0.0,87.58116883116884,2.943516309,64.4055944055944,1.4,1.235294118,100.0,42848.0,95.48425430778371,71.6923076923077,,10269.41667,39.0,100.0,30.28571429,,100.0,17.0,26.43274854,47.0,16.28,16.61166117,,4.63,9.26,43.52,56.0,11.001100110011002,26.76934360102677,114.04473780711405,27.502750275027505,0.1833333333333333,0.1954887218045112,0.15,0.6944444444444444,0.3235724743777452,0.7101024890190337,4.288377874,0.093196645,9.378922558,0.0,1.0,97.51398384,0.5,126655.0,28.0,26.4,7.395898073,,31.0,2.625298329,0.0
13,457.411,32.0,46.44329259487304,34.07687525889012,3.2,1427.0,64.0,15.7,5.7,81.25824901011879,0.884932076,18.954593453009505,5.834213305174234,48.11,20.48,2.73,4.22,24.45,1.5,41.543382646941225,80.25693036,68.55983773,46.5,7.0,26.0,711.0,112.0,0.0,35.03727369542066,42.59634888,93.94697348674336,5.191256831,41.31104267487902,1.7,1.234567901,100.0,55765.0,96.72008945210584,93.00279888044784,1054.0,14683.80435,43.0,100.0,9.875565611,17.57944557,23.66,8.0,46.31125471,65.7,17.87,27.71525042,20.63492063,0.84,9.24,53.78,64.0,7.878446820483962,54.5863815419246,115.08159819921217,29.82554867754643,0.2929292929292929,0.2647058823529412,0.4705882352941176,0.8620689655172413,0.3636363636363636,0.6620553359683794,1.690331305,0.0,20.46857834,0.281373101,0.0,61.663286,2.63,481946.0,47.0,25.6,33.40094659,,16.0,0.0,1.4
14,433.432,37.0,43.7313411114212,20.916786224048213,3.7,1899.0,26.0,0.0,4.6,91.23095924248662,6.19166574,13.616504854368932,4.490291262135923,17.03,55.28,13.54,4.74,9.41,1.6,47.41318214032601,83.60049322,76.38717633,73.7,7.0,23.6,935.0,149.0,47.3065015479876,42.23716381418093,54.2540074,96.0093896713615,7.678018576,55.99011939069576,1.6,1.083333333,74.66091245,82540.0,100.0,92.73564847625796,1363.0,6071.933333,28.0,31.54352738,22.84615385,62.76202219,62.35,9.0,45.11201629,45.6,19.41,33.07569296,33.18181818,0.0,13.57,61.43,57.0,4.264392324093817,17.32409381663113,31.982942430703627,21.855010660980813,0.3033707865168539,0.2659574468085106,0.3939393939393939,0.9056603773584906,0.2049586776859504,0.5619834710743802,0.369913687,0.0,12.23050332,0.26652452,0.0,66.64611591,0.68,357567.0,55.0,21.86,58.87792848,,14.0,0.0,0.0
15,690.225,50.0,73.19307857926633,14.535499905370369,1.2,2412.0,46.0,1.0,3.6,100.0,3.72359684,13.959390862944163,32.80456852791878,78.88,6.84,4.19,3.25,6.84,0.3,53.2448377581121,58.12064965,,69.6,9.0,31.2,1333.0,162.0,0.0,96.12015018773468,95.47563805,91.52348224513172,10.92831962,51.776649746192895,1.7,1.189189189,,128230.0,98.64864864864865,98.00884955752213,1750.0,4084.1,43.0,100.0,,,0.0,3.0,70.0,75.8,18.81,54.45593304,12.63669502,0.0,8.06,79.03,79.0,0.0,7.385524372230428,16.24815361890694,17.232890201870998,0.6,0.78125,0.7368421052631579,0.8181818181818182,0.0871794871794871,0.5897435897435898,0.232018561,0.0,0.0,0.492368291,1.0,57.19257541,0.64,581844.0,52.0,39.39,,,5.0,0.0,0.0
16,723.974,33.0,53.06741493635828,21.719559977649443,2.9,1531.0,52.0,0.4,3.2,81.12006788290199,1.440707899,23.473705420108807,9.97380616562563,24.47,36.31,10.93,4.63,23.66,1.2,32.251461988304094,99.24278277,99.62139139,57.2,10.0,27.4,898.0,140.0,66.3984855655466,49.81515711645101,56.31803124,95.07908611599298,7.288215807,70.98005939753924,1.6,1.273809524,91.10269759,52755.0,90.89121887287024,89.00584795321637,1049.0,10875.69388,44.0,100.0,18.94526627,31.47184098,59.11,7.0,45.30201342,59.7,23.74,37.57671748,29.57983193,3.66,8.9,49.74,68.0,6.533359730746387,31.676895664224904,93.24886161156206,41.17996436349237,0.3641618497109826,0.3236994219653179,0.3015873015873015,0.86,0.2534174553101997,0.6382754994742377,0.662565073,0.0,6.776350563,0.0,2.0,70.32654993,2.49,273196.0,44.0,31.08,34.21675343,,29.0,0.0,0.5
17,453.181,41.0,50.17488800069492,19.81637946421779,2.8,1630.0,51.0,0.0,4.2,95.07453013609852,1.736780685,18.26033312769896,17.14990746452807,7.93,58.62,6.75,3.56,23.14,0.4,25.19480519480519,100.0,100.0,55.0,7.0,24.8,1404.0,139.0,77.7334397446129,50.56768558951965,68.55546688,92.5626515763945,24.98004789,80.42773817239144,1.5,1.203703704,100.0,54025.0,89.43044906900329,81.73160173160173,924.0,9597.26087,40.0,0.0,23.51282051,75.33918595,40.06,7.0,49.54792043,56.5,13.44,45.4091193,24.21420256,4.17,7.29,43.75,76.0,7.495315427857589,39.66271080574641,125.54653341661462,31.230480949406623,0.273972602739726,0.2327586206896551,0.3181818181818182,0.8275862068965517,0.2814465408805031,0.6572327044025157,0.877893057,0.0,21.13362328,0.312304809,1.0,94.6528332,0.72,293365.0,59.0,46.53,,,30.0,7.262569832,0.8
18,615.168,30.0,59.50878185482023,25.65874507135107,3.1,3588.0,40.0,5.4,8.3,94.67065868263474,4.747300843,21.955354619949137,10.991805594800791,76.48,10.07,4.1,3.67,5.68,2.1,77.81498534951862,23.81203801,29.19746568,67.8,9.0,31.3,1373.0,232.0,84.5264317180616,47.70194986072424,38.12038015,88.86138613861387,3.469162996,45.20958083832336,1.5,1.185897436,100.0,108432.0,98.45931632161772,97.32105483465884,1412.0,11898.29412,37.0,100.0,19.70804196,30.99260824,81.88,6.0,63.3764199,63.9,14.26,28.13306567,8.864265928,0.0,6.17,71.6,78.0,1.7206767995411527,15.199311729280184,54.48809865213651,17.78032692859191,0.759493670886076,0.5256410256410257,0.8648648648648649,1.0,0.1481481481481481,0.6828703703703703,0.0,0.0,23.39519267,0.573558933,1.0,90.97148891,1.66,798392.0,47.0,43.02,10.19007392,,4.0,7.433920705,5.8
19,838.024,41.0,62.56980428707964,19.80225373116914,2.1,2387.0,49.0,0.1,7.7,90.85564990202482,2.189090995,20.20990312163617,22.38966630785791,81.94,5.17,2.33,3.8,6.75,5.0,69.79606188466948,32.22036728,32.22036728,78.5,8.0,33.0,1094.0,159.0,29.7101449275362,85.90333716915995,63.55036171,94.1495124593716,7.357859532,53.625081645983016,1.7,1.156756757,97.71841959,98552.0,94.05845711547676,98.80450070323488,1482.0,4272.285714,53.0,100.0,2.349358974,33.83416806,34.5,4.0,69.66173362,69.6,17.68,51.67425663,8.931698774,0.0,10.89,77.23,77.0,0.5357621216180016,6.429145459416019,21.430484864720064,19.55531743905706,0.7627118644067796,0.6607142857142857,0.68,1.0,0.1337209302325581,0.6075581395348837,0.055648303,0.0,19.89704466,0.803643182,3.0,88.64774624,1.05,418373.0,48.0,23.84,,,4.0,0.0,0.0
20,400.661,46.0,35.308394386912035,23.35554889954982,3.7,1945.0,27.0,0.0,4.7,81.99513381995133,0.384993426,20.34840622683469,32.09785025945144,65.51,6.99,14.23,5.51,7.76,0.5,57.82057303898544,21.28813559,34.03389831,91.3,8.0,37.2,922.0,144.0,22.8046289993192,70.57938299473288,51.72881356,98.1536189069424,1.633764466,68.73479318734793,1.5,1.114285714,42.37288136,70079.0,98.5342019543974,94.5514325974636,1711.0,8522.0,15.0,100.0,,47.3220339,73.04,8.0,64.60727969,33.0,17.93,29.80769231,12.7129751,0.0,7.69,71.15,78.0,0.3205128205128205,6.089743589743589,15.705128205128204,9.935897435897436,0.75,0.7889908256880734,0.84375,0.9666666666666668,0.1371115173674588,0.7513711151736746,0.06779661,0.0,6.565633652,0.320512821,0.0,44.0,0.98,418173.0,43.0,23.72,63.66101695,,4.0,0.0,0.0
21,912.321,27.8,29.138554839921653,30.17935446352367,2.8,1511.0,38.0,77.7,0.7,75.63025210084034,7.39079566,39.296875,1.25,13.02,57.24,1.08,3.6,25.05,3.5,24.9757045675413,100.0,51.31477185,66.2,8.0,30.1,875.0,135.0,78.8806758183738,21.35176651305684,13.41840681,96.73105497771174,14.41393875,55.60224089635855,1.4,1.219298246,100.0,32740.0,99.16943521594683,66.95821185617103,933.0,13563.2375,53.0,100.0,142.8016194,1.701469451,0.0,3.0,35.96899225,42.5,26.71,29.9510147,34.00576369,4.21,18.95,42.11,55.0,13.296011196641008,53.53393981805458,200.8397480755773,38.48845346396081,0.2435897435897435,0.3714285714285714,0.2916666666666667,0.88,0.2138492871690427,0.505091649694501,0.154679041,0.0,40.89565961,0.349895031,1.0,95.82366589,3.1,390925.0,38.0,57.03,48.91724671,,30.0,3.907074974,0.8
22,313.891,33.0,25.108582021973294,33.405528589702506,13.4,1400.0,58.0,116.9,1.6,70.83333333333334,6.617242613,5.975395430579964,2.519039250146456,63.15,17.94,6.45,5.12,7.34,12.7,56.31001371742113,53.24613555,76.02853746,52.4,7.0,32.5,785.0,104.0,22.3860942849618,20.88006902502157,3.210463734,93.61873990306948,3.028706874,34.68468468468468,1.7,1.293478261,100.0,73774.0,99.36079545454544,97.39368998628258,1598.0,22790.94565,55.0,100.0,118.9449301,,0.0,8.0,50.64034152,35.3,10.39,28.02419355,35.55555556,0.0,23.08,57.69,59.0,5.241935483870968,64.91935483870968,153.2258064516129,28.62903225806452,0.3333333333333333,,,,0.2702702702702703,0.2972972972972973,0.023781213,0.0,73.2931254,0.403225806,2.0,100.0,2.85,481698.0,32.0,55.24,36.6706302,,10.0,0.0,0.0
23,281.161,58.0,49.76314099408836,16.944317386116435,2.0,1450.0,41.0,0.0,0.7,72.26277372262774,13.09874704,27.44436952124073,19.35266351989211,34.33,46.54,1.57,5.91,11.65,2.1,27.783251231527096,93.45454545,49.81818182,54.6,9.0,18.3,779.0,129.0,0.545454545454546,20.91503267973856,36.72727273,84.181568088033,12.0,77.37226277372264,1.8,1.060606061,83.81818182,40029.0,100.0,85.32019704433498,816.0,29160.7,33.0,100.0,,,0.0,5.0,43.16069057,59.3,28.85,40.86614173,32.17821782,3.57,17.86,42.86,64.0,10.236220472440944,18.11023622047244,95.2755905511811,33.85826771653543,0.2765957446808511,0.1666666666666666,0.4285714285714285,0.9,0.3389121338912134,0.7447698744769874,0.727272727,0.0,0.0,0.0,1.0,96.54545455,1.79,591028.0,35.0,58.27,,,49.0,51.45454545,0.0
24,180.077,40.3,48.60296154257689,18.85460964407696,2.8,1703.0,64.0,279.9,7.8,88.88888888888889,2.369997489,10.38353601496726,11.599625818521982,62.53,5.93,1.1,3.19,27.25,3.3,61.11111111111112,95.21912351,1.792828685,65.4,8.0,32.6,771.0,121.0,1.76470588235294,90.26128266033254,63.54581673,87.34439834024896,15.58823529,43.02325581395349,1.9,1.303571429,100.0,168819.0,99.3857493857494,98.14814814814817,1714.0,15003.21053,44.0,100.0,242.0865385,,0.0,5.0,65.47368421,59.4,14.3,46.37362637,18.80877743,2.63,15.79,71.05,80.0,4.395604395604395,34.065934065934066,70.32967032967032,20.87912087912088,0.8125,0.7692307692307693,0.4,,0.1022727272727272,0.5340909090909091,0.796812749,0.0,25.92479288,0.0,2.0,98.80478088,1.88,327208.0,55.0,43.96,39.64143426,,7.0,0.0,10.0
25,653.014,41.6,56.31744078147,19.087719100329863,1.8,2820.0,35.0,0.0,4.3,93.25513196480938,2.940265388,28.912783751493432,11.917562724014337,77.66,3.98,8.48,4.57,5.32,0.2,73.93428063943162,1.680672269,16.63865546,81.3,10.0,31.7,1400.0,216.0,0.0,83.56282271944923,72.35294118,95.0900163666121,7.40117746,68.32844574780059,1.6,1.08,38.48739496,122500.0,93.04050199657728,97.42451154529309,1934.0,33854.0,32.0,40.58708821,,30.16806723,30.19,5.0,67.2752168,61.5,18.43,41.65035877,8.130081301,0.0,4.0,80.0,80.0,0.0,17.938682322243967,14.024787997390735,15.981735159817353,0.7931034482758621,0.90625,0.8431372549019608,1.0,0.0564663023679417,0.7978142076502732,0.0,0.0,11.61485209,0.652315721,0.0,47.64705882,0.89,478299.0,56.0,12.72,30.16806723,,3.0,0.0,0.0
26,1131.98,33.3,60.845378710644816,7.066383073892202,1.0,2055.0,29.0,0.1,1.1,89.54100827689993,20.87522806,35.10289990645463,9.12067352666043,47.48,34.75,1.82,5.04,10.91,0.1,34.77564102564102,2.374429224,2.374429224,,,,1248.0,,0.0,85.4631507775524,100.0,94.8076923076923,0.182982617,82.09179834462002,1.1,1.123188406,12.23744292,78427.0,95.81205311542392,96.31410256410255,1613.0,4096.333333,55.0,100.0,,12.78538813,0.0,3.0,56.17250674,51.3,15.33,0.960548885,21.55251142,2.67,6.67,70.67,74.0,1.37221269296741,5.145797598627787,27.101200686106345,18.52487135506004,0.5217391304347826,0.4583333333333333,0.5789473684210527,0.8666666666666667,0.2085889570552147,0.5613496932515337,0.273972603,0.0,0.0,1.02915952,0.0,1.461187215,0.07,899528.0,60.0,0.0,,,8.0,0.0,0.0
27,320.821,30.0,41.11910399007698,17.260249745953633,3.2,1574.0,25.0,20.9,1.9,82.10372534696859,5.125480338,30.437317784256564,9.825072886297376,30.42,29.35,7.54,6.39,26.3,0.3,35.76297850026219,55.7312253,59.09090909,65.8,10.0,25.6,922.0,161.0,0.0,74.55230914231856,69.16996047,96.3669391462307,9.495548961,72.02337472607742,1.4,1.101123596,89.62450593,66560.0,99.428208386277,88.93550078657577,1232.0,14219.8,29.0,0.0,8.634615385,66.60079051,66.67,8.0,41.72510519,42.4,18.61,27.26597325,27.42857143,1.41,11.27,63.38,65.0,4.829123328380386,12.25854383358098,54.23476968796434,24.14561664190193,0.3723404255319149,0.4343434343434343,0.3541666666666667,1.0,0.2128440366972477,0.671559633027523,0.197628458,0.0,0.0,0.371471025,1.0,8.893280632,0.38,549583.0,41.0,22.29,,,19.0,8.506429278,0.0
28,194.033,45.0,51.42199924082039,33.5169302003869,3.0,3756.0,48.0,0.5,4.6,89.51310861423221,0.42278218,23.1614539306847,23.58410819949281,89.23,2.63,1.56,3.45,3.13,3.6,70.30456852791879,83.38983051,89.49152542,85.1,10.0,29.8,1143.0,256.0,100.0,85.28301886792453,43.22033898,82.29813664596274,3.571428571,33.33333333333333,1.9,1.3,100.0,,100.0,100.0,,23380.4878,53.0,100.0,4.200549451,65.25423729,93.03,6.0,68.84368308,60.5,16.11,33.38815789,17.25490196,0.0,7.69,92.31,81.0,2.4671052631578947,80.59210526315789,88.81578947368422,21.38157894736842,0.8333333333333334,0.8333333333333334,0.875,1.0,0.1485148514851485,0.7326732673267327,0.169491525,0.0,24.59326879,2.467105263,0.0,36.61016949,5.55,370635.0,42.0,30.43,92.54237288,,3.0,0.0,5.1
